dataset,worker,prototype,weight
CF,986,1,0.9419435161413016
CF,996,0,0.9464848454577217
CF,996,1,0.05351515454227828
CF,999,0,0.9409842955369148
CF,999,1,0.05901570446308525
CF,1002,0,0.9365108793737561
CF,1002,1,0.06348912062624389
CF,1009,0,0.06414439089122516
CF,1009,1,0.9358556091087749
CF,1013,0,0.36328770739542227
CF,1013,1,0.6367122926045777
CF,1017,0,0.9357874654425125
CF,1017,1,0.06421253455748743
CF,1023,0,0.07953755685399315
CF,1023,1,0.9204624431460068
CF,1025,0,0.937270886200585
CF,1025,1,0.06272911379941494
CF,1034,0,0.9426417829777541
CF,1034,1,0.05735821702224577
CF,1036,0,0.06414460133052745
CF,1036,1,0.9358553986694725
CF,1043,0,0.9313113941982538
CF,1043,1,0.06868860580174607
CF,1058,0,0.9464848454577217
CF,1058,1,0.05351515454227828
CF,1065,0,0.9391448737276743
CF,1065,1,0.06085512627232556
CF,1066,0,0.9385945880429021
CF,1066,1,0.061405411957097845
CF,1071,0,0.9300978348493287
CF,1071,1,0.0699021651506713
CF,1076,0,0.9513512974701959
CF,1076,1,0.048648702529804126
CF,1078,0,0.48292651477847104
CF,1078,1,0.517073485221529
CF,1081,0,0.9513513325849389
CF,1081,1,0.04864866741506122
CF,1082,0,0.9295975834489222
CF,1082,1,0.07040241655107779
CF,1086,0,0.951351297470043
CF,1086,1,0.04864870252995688
CF,1089,0,0.9129255860477973
CF,1089,1,0.08707441395220278
CF,1090,0,0.06414438810749967
CF,1090,1,0.9358556118925003
CF,1097,0,0.14691767224150915
CF,1097,1,0.8530823277584908
CF,1100,0,0.49405073945152983
CF,1100,1,0.5059492605484701
CF,1103,0,0.6565650155274733
CF,1103,1,0.3434349844725268
CF,1104,0,0.9474505532792338
CF,1104,1,0.05254944672076624
CF,1106,0,0.9433853394320145
CF,1106,1,0.05661466056798535
CF,1109,0,0.9464848454577217
CF,1109,1,0.05351515454227828
CF,1117,0,0.9414124437125833
CF,1117,1,0.0585875562874168
CF,1118,0,0.946592213223076
CF,1118,1,0.053407786776924024
CF,1119,0,0.9342428504996069
CF,1119,1,0.06575714950039303
CF,1120,0,0.0641447951986428
CF,1120,1,0.9358552048013571
CF,1125,0,0.06414441673250688
CF,1125,1,0.9358555832674932
CF,1127,0,0.9443701485079247
CF,1127,1,0.05562985149207538
CF,1136,0,0.9474505826652582
CF,1136,1,0.052549417334741874
CF,1145,0,0.9513513088893204
CF,1145,1,0.04864869111067968
CF,1146,0,0.9425668952344787
CF,1146,1,0.05743310476552123
CF,1149,0,0.7465742751975626
CF,1149,1,0.25342572480243736
CF,1155,0,0.9466510243821374
CF,1155,1,0.053348975617862573
CF,1160,0,0.8967775090265097
CF,1160,1,0.10322249097349032
CF,1161,0,0.9464340403449516
CF,1161,1,0.05356595965504838
CF,1168,0,0.9480176882210696
CF,1168,1,0.0519823117789305
CF,1171,0,0.8952977859489699
CF,1171,1,0.10470221405103002
CF,1175,0,0.6784592570883381
CF,1175,1,0.32154074291166196
CF,1188,0,0.9358403044850763
CF,1188,1,0.06415969551492369
CF,1194,0,0.6981664964811775
CF,1194,1,0.30183350351882254
CF,1198,0,0.9413015265893123
CF,1198,1,0.058698473410687575
CF,1204,0,0.9464848454577217
CF,1204,1,0.05351515454227828
CF,1205,0,0.9487686229125718
CF,1205,1,0.051231377087428184
CF,1214,0,0.9512816447566425
CF,1214,1,0.04871835524335759
CF,1217,0,0.9383227892415048
CF,1217,1,0.06167721075849523
CF,1226,0,0.07524994381082686
CF,1226,1,0.9247500561891732
CF,1232,0,0.07740328262210165
CF,1232,1,0.9225967173778983
CF,1241,0,0.9437081331079347
CF,1241,1,0.05629186689206538
CF,1242,0,0.9417107359131632
CF,1242,1,0.05828926408683673
CF,1243,0,0.9418663675182343
CF,1243,1,0.058133632481765736
CF,1245,0,0.5945488051595454
CF,1245,1,0.40545119484045444
CF,1246,0,0.9465920465523298
CF,1246,1,0.05340795344767021
CF,1252,0,0.058056488868349285
CF,1252,1,0.9419435111316508
CF,1257,0,0.9513512974693836
CF,1257,1,0.04864870253061627
CF,1258,0,0.9125933347112029
CF,1258,1,0.0874066652887972
CF,1263,0,0.13918214911001814
CF,1263,1,0.8608178508899819
CF,1272,0,0.08129294409162145
CF,1272,1,0.9187070559083784
CF,1279,0,0.951351319778502
CF,1279,1,0.04864868022149809
CF,1281,0,0.9513512974700579
CF,1281,1,0.04864870252994205
CF,1286,0,0.9429955714361534
CF,1286,1,0.057004428563846556
CF,1290,0,0.9513513088857474
CF,1290,1,0.048648691114252685
CF,1292,0,0.9513512974702013
CF,1292,1,0.04864870252979865
CF,1296,0,0.9480176377688306
CF,1296,1,0.051982362231169386
CF,1299,0,0.9491630654881792
CF,1299,1,0.05083693451182076
CF,1302,0,0.09701573854756773
CF,1302,1,0.9029842614524323
CF,1305,0,0.9417109050582912
CF,1305,1,0.05828909494170877
CF,1311,0,0.9507895592745883
CF,1311,1,0.04921044072541175
CF,1314,0,0.9474108213371445
CF,1314,1,0.05258917866285545
CF,1318,0,0.942292298032759
CF,1318,1,0.057707701967241
CF,1325,0,0.949030065974681
CF,1325,1,0.05096993402531905
CF,1329,0,0.9421707078460102
CF,1329,1,0.05782929215398981
CF,1331,0,0.9474505826644237
CF,1331,1,0.05254941733557635
CF,1334,0,0.9474505532869563
CF,1334,1,0.05254944671304372
CF,1338,0,0.1368050547466247
CF,1338,1,0.8631949452533753
CF,1340,0,0.9433853395774096
CF,1340,1,0.0566146604225904
CF,1345,0,0.9513512974700361
CF,1345,1,0.04864870252996382
CF,1347,0,0.911607921598043
CF,1347,1,0.08839207840195698
CF,1350,0,0.5256042303407357
CF,1350,1,0.47439576965926444
CF,1356,0,0.9392929078125474
CF,1356,1,0.06070709218745266
CF,1357,0,0.9211820251495773
CF,1357,1,0.07881797485042273
CF,1360,0,0.9419168208022115
CF,1360,1,0.058083179197788416
CF,1365,0,0.9513513325845788
CF,1365,1,0.04864866741542117
CF,1368,0,0.9489650851570827
CF,1368,1,0.05103491484291722
CF,1375,0,0.4757379540357473
CF,1375,1,0.5242620459642527
CF,1376,0,0.9329646858838077
CF,1376,1,0.06703531411619233
CF,1381,0,0.9513513325846028
CF,1381,1,0.04864866741539707
CF,1389,0,0.9513512974700361
CF,1389,1,0.04864870252996382
CF,1390,0,0.9464848454577217
CF,1390,1,0.05351515454227828
CF,1393,0,0.7811750752366611
CF,1393,1,0.21882492476333887
CF,1394,0,0.8715429427431918
CF,1394,1,0.12845705725680825
CF,1397,0,0.9454391729443408
CF,1397,1,0.054560827055659164
CF,1399,0,0.9483420286973426
CF,1399,1,0.05165797130265738
CF,1400,0,0.9171082273313695
CF,1400,1,0.0828917726686305
CF,1406,0,0.9473730973737491
CF,1406,1,0.05262690262625088
CF,1420,0,0.934755735513595
CF,1420,1,0.065244264486405
CF,1421,0,0.9512891096371928
CF,1421,1,0.04871089036280719
CF,1424,0,0.38311364314496094
CF,1424,1,0.616886356855039
CF,1431,0,0.9513512974700329
CF,1431,1,0.04864870252996716
CF,1433,0,0.947450610684231
CF,1433,1,0.05254938931576902
CF,1436,0,0.9446745636071814
CF,1436,1,0.05532543639281868
CF,1441,0,0.9513513325846082
CF,1441,1,0.0486486674153918
CF,1442,0,0.9279517940758489
CF,1442,1,0.0720482059241511
CF,1449,0,0.9394657434446989
CF,1449,1,0.06053425655530098
